Epoch,Generator Loss,Discriminator Loss
1,19.912806,0.98107105
2,15.885303,0.9013989
3,15.154004,0.926088
4,15.068644,0.8807157
5,15.247793,0.76641417
6,15.693644,0.6532901
7,16.199478,0.5031982
8,17.188623,0.30459273
9,15.190708,0.7580166
10,14.560423,0.72382706
11,16.6203,0.31933507
12,16.948835,0.34427884
13,17.897343,0.11433912
14,19.042042,0.02156587
15,17.587389,0.40070617
16,13.570205,0.8093299
17,15.338903,0.48624453
18,16.862432,0.08366768
19,18.193422,0.013761679
20,13.612256,0.911446
21,12.235193,1.1100637
22,13.020674,0.8345969
23,15.367663,0.3105578
24,14.448997,0.5148786
25,15.988873,0.123025954
26,16.694613,0.14424576
27,14.969764,0.26851523
28,16.984434,0.018250156
29,17.300594,0.0068354425
30,17.403399,0.0059750527
31,17.721962,0.0047215186
32,11.728891,1.0416551
33,11.129181,0.8259581
34,12.701944,0.39194655
35,12.839931,0.5408664
36,12.775515,0.4441136
37,11.786048,0.5624897
38,14.523125,0.09216753
39,15.969657,0.0058748373
40,16.107637,0.0036272372
41,16.135551,0.13162297
42,8.576641,1.263201
43,8.562954,1.2323942
44,8.533072,1.2310015
45,8.52216,1.2143807
46,8.5105715,1.2055683
47,8.502258,1.1729227
48,8.660295,1.1397383
49,10.444971,0.791748
50,10.44071,0.68904895
51,14.798769,0.014483341
52,15.551176,0.0076453593
53,8.59198,1.1809464
54,7.7052383,1.2433307
55,7.661408,1.2274233
56,7.6270714,1.2025139
57,7.596058,1.1718905
58,7.614393,1.1596588
59,8.15462,1.042865
60,12.083033,0.46050873
61,10.261595,0.645167
62,12.142554,0.2024138
63,13.209227,0.11504491
64,13.357042,0.098667756
65,14.771579,0.006928119
66,14.861094,0.0049667335
67,15.10138,0.0018429223
68,15.041342,0.0020758535
69,12.546895,0.553725
70,6.8333063,1.2436243
71,7.120925,1.1721556
72,10.361651,0.44136924
73,10.883665,0.33052558
74,13.451094,0.018830879
75,11.80844,0.37402457
76,12.194833,0.12988782
77,13.586766,0.0072311983
78,13.422175,0.22942124
79,7.7669077,0.8853064
80,12.914796,0.012770877
81,10.807634,0.37152392
82,12.961349,0.008869701
83,13.632257,0.005046349
84,14.292992,0.0036119414
85,13.410161,0.2765922
86,8.724947,0.682838
87,11.757862,0.1318736
88,12.01653,0.050979547
89,13.254274,0.004970037
90,14.022969,0.0037093114
91,13.993191,0.0025405672
92,14.494551,0.00184079
93,14.613726,0.0017265072
94,8.2830515,1.0985278
95,5.7812614,1.3439436
96,5.7605734,1.3263919
97,5.7480507,1.3035121
98,5.791278,1.292858
99,5.815074,1.2708938
100,5.8411884,1.2746432
