Epoch,Generator Loss,Discriminator Loss
1,23.958849,1.139654
2,17.973864,0.90428096
3,16.994938,0.9023922
4,16.270525,0.84088796
5,15.84735,0.89727175
6,15.469365,0.9333603
7,15.123485,0.92256707
8,15.003643,0.9051496
9,14.894162,0.93657345
10,14.574668,0.9828018
11,14.638364,0.87925637
12,14.762617,0.8528992
13,14.796486,0.86457616
14,14.910027,0.7771281
15,14.645157,0.7479744
16,15.284101,0.5986064
17,15.666358,0.4878938
18,15.017987,0.58248585
19,15.028399,0.59494436
20,15.119084,0.38768613
21,14.948819,0.5011112
22,15.146636,0.37917718
23,15.417595,0.27106947
24,15.079613,0.3547955
25,15.724014,0.11218445
26,14.345016,0.53519034
27,13.371294,0.5821464
28,14.798567,0.27414158
29,13.555066,0.44655478
30,14.737339,0.0690585
31,12.816961,0.8488011
32,10.023713,1.2096895
33,9.957651,1.1717442
34,9.942933,1.1317128
35,9.879361,1.0879836
36,9.7799425,1.0652721
37,9.908847,1.0063066
38,10.251276,0.869852
39,10.495836,0.7277001
40,11.150561,0.4980008
41,11.907814,0.35450232
42,12.353095,0.4405264
43,11.516236,0.7349708
44,11.714292,0.17889886
45,12.073008,0.24547897
46,12.9947605,0.056157604
47,12.236146,0.4440319
48,12.514432,0.087886035
49,13.320639,0.029638756
50,14.064408,0.017871302
51,14.097179,0.014237268
52,14.180133,0.01675292
53,11.095793,1.0129589
54,7.344624,1.3467124
55,7.2177896,1.3188946
56,7.156041,1.2838705
57,7.1562986,1.2569606
58,7.18451,1.2439363
59,7.113519,1.2486758
60,7.1812224,1.2657908
61,7.09926,1.2301309
62,7.1041684,1.2397712
63,7.1421256,1.2189099
64,7.092474,1.2229427
65,7.050608,1.2017568
66,7.027151,1.187275
67,6.91284,1.2010133
68,7.0223913,1.2121955
69,6.9366283,1.1778859
70,7.023473,1.1709747
71,6.974987,1.1845194
72,6.976151,1.1615206
73,7.560398,1.0899034
74,8.318661,1.0150295
75,8.247921,0.9054182
76,6.8408785,1.3409852
77,6.3802457,1.2010092
78,6.555355,1.1749586
79,9.741393,0.5567859
80,9.689102,0.7090633
81,8.837241,0.6230248
82,10.42352,0.14677557
83,11.306059,0.31328642
84,10.650515,0.07129185
85,11.426688,0.026754024
86,9.053928,0.8829517
87,5.868879,1.3567137
88,5.7277756,1.307973
89,5.7018385,1.2749043
90,5.7619767,1.2912825
91,5.738517,1.2857589
92,5.8172784,1.2551847
93,5.7828126,1.2381468
94,6.011988,1.1825559
95,8.408121,0.51247144
96,6.3092284,1.348761
97,5.5904355,1.2653382
98,5.616669,1.2721483
99,5.740067,1.2143126
100,8.163577,0.5296347
