Epoch,Generator Loss,Discriminator Loss
1,20.294981,0.98467445
2,15.739124,1.0097369
3,14.9900875,0.9391613
4,14.578994,0.95913815
5,14.325733,0.968516
6,14.285721,0.97059
7,14.132537,0.9771111
8,13.975815,0.9593335
9,13.947888,0.96690685
10,13.917356,0.98984796
11,13.788875,0.9579461
12,13.708772,0.97671014
13,13.721385,0.92566186
14,13.723864,0.91937244
15,13.930204,0.8050709
16,14.288064,0.64851207
17,15.263291,0.4115872
18,15.428665,0.42913905
19,15.520826,0.30431747
20,13.498579,0.95950437
21,14.342449,0.4460828
22,15.019019,0.30930433
23,16.199476,0.053056434
24,15.314649,0.41003856
25,14.400122,0.28394264
26,15.144731,0.3430473
27,11.321654,1.0257667
28,13.535289,0.4767929
29,10.70275,1.1075945
30,12.082281,0.6802698
31,13.508884,0.2745125
32,14.99384,0.060553804
33,15.591636,0.025780512
34,11.88539,0.84395456
35,9.71995,1.1780798
36,9.918652,1.0417975
37,10.964385,0.77621084
38,13.732651,0.19741474
39,8.983595,1.1853802
40,10.032781,0.9335671
41,13.469813,0.09147809
42,13.903809,0.14799872
43,12.442519,0.3781144
44,13.46141,0.028150272
45,12.982299,0.28274632
46,13.396403,0.025460316
47,13.799437,0.014910691
48,14.213606,0.009773932
49,14.24024,0.011249802
50,14.486611,0.006931072
51,10.953408,0.6381296
52,11.00227,0.30628392
53,13.193768,0.016720233
54,13.65567,0.0114675965
55,14.009768,0.010102562
56,13.207252,0.30248314
57,9.989969,0.42797905
58,12.93465,0.015650209
59,7.823209,1.2474829
60,6.844416,1.2806046
61,6.9025784,1.2800317
62,6.8965573,1.2546124
63,6.9356966,1.220552
64,7.217623,1.1302001
65,8.213564,0.943524
66,9.345863,0.7027948
67,10.588463,0.3566832
68,7.2881837,1.2464204
69,6.555263,1.2437388
70,6.617538,1.2193813
71,6.646717,1.2017378
72,9.4859495,0.6735454
73,9.3136635,0.59096533
74,10.973502,0.5430307
75,6.6798925,1.1721213
76,9.905962,0.42498425
77,12.171241,0.03804983
78,12.59562,0.05311306
79,10.44149,0.7218601
80,6.1303577,1.3040715
81,6.04028,1.3162272
82,6.007855,1.2926786
83,6.036543,1.2821581
84,6.0623116,1.2719729
85,6.056497,1.2495552
86,6.0604024,1.2402973
87,6.117411,1.223467
88,6.098949,1.2124478
89,6.2390018,1.152419
90,9.481152,0.5301934
91,13.009396,0.0252952
92,13.619299,0.010343672
93,11.758041,0.26179406
94,12.367201,0.009722582
95,11.395412,0.15802544
96,11.312036,0.19321437
97,6.4778657,1.231462
98,5.89157,1.2110183
99,5.857171,1.2198603
100,5.824166,1.20944
