Epoch,Generator Loss,Discriminator Loss
1,21.71129,1.0699538
2,16.949228,0.9517922
3,16.139244,0.88126343
4,15.497521,0.90982556
5,15.277889,0.922756
6,15.382436,0.83313686
7,15.585416,0.6435943
8,15.011062,0.8530728
9,14.251443,0.9565039
10,14.356692,0.9108377
11,15.085481,0.67371106
12,16.157541,0.5932954
13,13.753321,0.98278093
14,13.714556,0.99565387
15,13.807398,0.9145818
16,14.357915,0.76057386
17,15.1749525,0.65979236
18,14.221931,0.6547922
19,14.688913,0.6352733
20,16.087978,0.22214901
21,14.838993,0.5090875
22,15.186035,0.37380803
23,15.686811,0.20547748
24,14.883198,0.47671565
25,15.572205,0.3218168
26,11.16192,1.1418686
27,11.206166,1.1517926
28,11.192388,1.1164608
29,11.108223,1.1047066
30,11.082351,1.057011
31,12.687106,0.57272106
32,13.395015,0.41782862
33,12.149785,0.61046666
34,13.061687,0.33743173
35,13.643108,0.22998472
36,13.255218,0.34974346
37,14.182937,0.11075876
38,12.740465,0.4180133
39,14.072035,0.07344369
40,14.60986,0.036227923
41,15.014225,0.027328216
42,12.56627,0.6723005
43,11.210625,0.54307663
44,12.308377,0.2946505
45,13.778391,0.037381597
46,13.340755,0.29068398
47,12.144522,0.29048008
48,13.753945,0.02852663
49,14.522461,0.022816533
50,10.3711405,0.85758436
51,11.373166,0.38166296
52,11.228887,0.14567377
53,12.496316,0.058057573
54,13.24536,0.024233121
55,10.154171,0.7550515
56,11.958506,0.07023062
57,13.521453,0.022507053
58,12.799502,0.2932092
59,12.9497795,0.036172602
60,12.014231,0.23071061
61,11.825128,0.5448285
62,9.139379,0.6338274
63,11.178464,0.0769871
64,12.214973,0.036012884
65,11.17154,0.2724449
66,9.945005,0.3820424
67,11.652575,0.04168108
68,11.786603,0.0417857
69,12.533727,0.028675824
70,12.51703,0.025354547
71,12.570406,0.02011807
72,12.914454,0.015224601
73,13.142671,0.011896383
74,13.758386,0.0049114353
75,13.363085,0.30087695
76,6.572115,1.3857579
77,6.31981,1.3474454
78,6.266569,1.3237633
79,6.2494206,1.2971854
80,6.303978,1.2820771
81,6.340344,1.2813945
82,6.3320065,1.2650788
83,6.378231,1.2703696
84,6.34545,1.2395183
85,6.3690343,1.242164
86,6.3820257,1.2242409
87,6.402322,1.236285
88,6.390524,1.2307748
89,6.363242,1.2290175
90,6.3537655,1.2460798
91,6.3114014,1.2555937
92,6.3124404,1.2427084
93,6.38157,1.239307
94,6.3226657,1.2397909
95,6.2352014,1.2285547
96,6.3026786,1.2086824
97,6.28185,1.1915822
98,6.415861,1.2072341
99,6.5240483,1.1483831
100,7.057142,1.0158043
